customer_id,product_id,product_category,purchase_amount,purchase_date
314,20,Category 2,478.34,2022-11-24
299,32,Category 2,491.83,2022-03-24
208,26,Category 1,758.6,2022-08-08
151,2,Category 4,866.66,2022-08-08
5,17,Category 5,659.07,2022-06-26
74,29,Category 3,282.04,2022-03-02
275,18,Category 4,605.49,2022-12-17
178,3,Category 1,185.35,2022-09-19
325,1,Category 4,677.23,2022-08-23
143,45,Category 3,628.11,2022-03-27
289,15,Category 3,145.23,2022-10-27
250,19,Category 5,910.08,2022-11-15
441,44,Category 2,558.1,2022-06-07
445,38,Category 3,718.32,2022-12-22
484,50,Category 4,546.55,2022-05-07
369,46,Category 4,879.71,2022-03-12
155,1,Category 4,345.17,2022-05-10
195,17,Category 5,662.03,2022-05-20
369,46,Category 4,461.39,2022-08-16
474,37,Category 4,579.27,2022-11-20
412,2,Category 4,66.66,2022-08-24
422,26,Category 1,932.43,2022-04-22
107,46,Category 4,643.95,2022-02-22
88,28,Category 3,110.1,2022-09-27
184,12,Category 1,262.31,2022-07-05
68,50,Category 4,815.79,2022-09-19
489,3,Category 1,12.76,2022-01-30
367,5,Category 5,908.37,2022-07-02
342,49,Category 5,884.73,2022-08-08
388,47,Category 2,799.82,2022-07-28
228,20,Category 2,256.99,2022-08-14
73,6,Category 1,101.46,2022-11-20
397,27,Category 1,157.16,2022-03-13
235,26,Category 1,602.89,2022-12-16
427,12,Category 1,625.57,2022-07-15
240,28,Category 3,278.46,2022-09-20
361,19,Category 5,882.29,2022-11-03
63,16,Category 3,248.61,2022-05-19
327,1,Category 4,671.65,2022-08-06
197,10,Category 3,58.31,2022-03-21
74,2,Category 4,102.49,2022-05-29
73,33,Category 2,351.84,2022-02-20
462,25,Category 1,215.85,2022-05-21
127,7,Category 5,904.69,2022-07-15
206,9,Category 1,439.31,2022-06-14
110,27,Category 1,75.67,2022-12-21
403,38,Category 3,822.89,2022-09-18
352,34,Category 5,168.29,2022-11-28
392,27,Category 1,337.99,2022-05-19
452,33,Category 2,514.87,2022-02-03
171,7,Category 5,850.43,2022-12-21
288,39,Category 4,673.58,2022-11-16
43,23,Category 2,134.79,2022-01-24
293,50,Category 4,564.39,2022-05-24
379,38,Category 3,451.01,2022-12-30
223,34,Category 5,151.06,2022-08-19
364,42,Category 2,526.32,2022-10-08
412,38,Category 3,995.28,2022-09-05
93,49,Category 5,57.41,2022-07-26
366,34,Category 5,102.95,2022-05-18
369,19,Category 5,196.92,2022-02-08
38,46,Category 4,621.93,2022-06-02
45,40,Category 4,91.12,2022-02-12
128,18,Category 4,94.96,2022-02-16
403,22,Category 4,344.36,2022-10-24
487,17,Category 5,580.04,2022-09-01
88,38,Category 3,922.74,2022-04-25
1,39,Category 4,849.45,2022-05-22
55,32,Category 2,38.67,2022-08-21
36,14,Category 3,950.6,2022-09-16
4,6,Category 1,674.35,2022-06-27
368,49,Category 5,169.69,2022-11-26
371,44,Category 2,601.83,2022-01-26
416,29,Category 3,528.36,2022-08-30
231,17,Category 5,77.58,2022-07-30
437,9,Category 1,646.99,2022-10-27
168,49,Category 5,597.84,2022-03-15
199,32,Category 2,282.32,2022-08-24
10,17,Category 5,126.78,2022-07-05
63,48,Category 3,810.23,2022-05-18
227,32,Category 2,108.61,2022-11-05
132,6,Category 1,412.16,2022-11-16
303,21,Category 1,992.2,2022-10-02
260,1,Category 4,219.83,2022-04-22
162,29,Category 3,877.18,2022-12-20
331,4,Category 1,910.85,2022-05-31
248,27,Category 1,934.21,2022-04-24
436,42,Category 2,401.3,2022-06-18
236,23,Category 2,518.57,2022-11-30
261,22,Category 4,501.46,2022-09-01
362,17,Category 5,370.32,2022-03-26
47,20,Category 2,417.3,2022-01-13
369,9,Category 1,100.08,2022-02-07
440,6,Category 1,629.52,2022-02-17
479,9,Category 1,88.45,2022-05-29
137,27,Category 1,897.22,2022-01-28
34,18,Category 4,498.26,2022-09-18
75,39,Category 4,144.77,2022-06-07
180,10,Category 3,367.56,2022-02-13
122,2,Category 4,895.68,2022-11-29
80,4,Category 1,788.86,2022-11-05
262,21,Category 1,579.55,2022-12-11
66,31,Category 4,88.99,2022-02-18
310,31,Category 4,133.44,2022-04-07
140,21,Category 1,867.42,2022-08-18
300,18,Category 4,413.59,2022-03-05
302,40,Category 4,17.99,2022-11-23
14,35,Category 2,290.44,2022-06-27
71,49,Category 5,265.05,2022-05-24
259,6,Category 1,13.16,2022-07-15
465,5,Category 5,762.18,2022-06-03
373,7,Category 5,155.63,2022-01-26
427,2,Category 4,642.52,2022-07-11
222,17,Category 5,864.35,2022-09-19
264,23,Category 2,224.59,2022-06-20
218,44,Category 2,688.4,2022-04-02
433,24,Category 2,805.9,2022-02-01
137,45,Category 3,896.79,2022-07-01
275,40,Category 4,393.33,2022-02-13
186,17,Category 5,516.97,2022-02-24
245,49,Category 5,569.35,2022-05-14
51,13,Category 1,695.22,2022-03-02
283,10,Category 3,516.49,2022-04-07
278,45,Category 3,660.38,2022-03-24
342,31,Category 4,125.39,2022-03-02
248,44,Category 2,598.14,2022-10-10
92,20,Category 2,474.15,2022-01-22
328,16,Category 3,961.93,2022-11-05
129,15,Category 3,994.33,2022-04-13
167,44,Category 2,963.73,2022-04-05
266,3,Category 1,674.54,2022-04-23
288,29,Category 3,913.23,2022-12-03
148,10,Category 3,764.54,2022-09-02
259,45,Category 3,321.41,2022-02-03
354,46,Category 4,539.79,2022-06-01
474,28,Category 3,150.42,2022-01-06
331,6,Category 1,257.14,2022-09-24
491,11,Category 3,616.53,2022-12-16
183,47,Category 2,109.22,2022-08-07
431,13,Category 1,797.33,2022-10-16
274,40,Category 4,35.69,2022-01-03
55,14,Category 3,922.91,2022-12-06
39,26,Category 1,114.91,2022-04-14
63,45,Category 3,75.63,2022-01-22
303,50,Category 4,862.58,2022-03-25
467,42,Category 2,437.96,2022-04-01
407,5,Category 5,332.46,2022-11-10
417,22,Category 4,588.74,2022-12-16
441,12,Category 1,755.93,2022-07-07
410,48,Category 3,405.65,2022-05-26
344,37,Category 4,628.91,2022-01-28
436,24,Category 2,355.12,2022-06-18
11,20,Category 2,102.32,2022-11-25
85,31,Category 4,52.37,2022-08-04
118,1,Category 4,938.94,2022-03-01
157,18,Category 4,239.29,2022-03-13
10,8,Category 1,340.2,2022-07-21
117,34,Category 5,729.73,2022-01-26
53,45,Category 3,833.51,2022-07-17
150,12,Category 1,415.39,2022-09-06
99,12,Category 1,611.88,2022-07-29
167,16,Category 3,154.07,2022-03-11
12,36,Category 1,219.94,2022-05-12
12,22,Category 4,515.95,2022-09-11
245,42,Category 2,486.65,2022-04-19
312,19,Category 5,325.13,2022-08-18
229,34,Category 5,34.36,2022-04-27
46,21,Category 1,811.27,2022-08-05
360,23,Category 2,627.88,2022-09-20
493,20,Category 2,93.91,2022-10-03
159,21,Category 1,880.96,2022-12-26
452,37,Category 4,472.29,2022-11-13
45,20,Category 2,788.64,2022-03-11
377,17,Category 5,424.35,2022-04-01
305,18,Category 4,186.61,2022-06-23
111,37,Category 4,598.73,2022-06-09
180,7,Category 5,639.55,2022-09-22
311,3,Category 1,703.37,2022-05-18
493,5,Category 5,870.42,2022-04-10
200,44,Category 2,643.04,2022-06-23
131,22,Category 4,650.72,2022-05-03
436,35,Category 2,958.21,2022-06-03
259,15,Category 3,202.27,2022-11-05
304,8,Category 1,132.7,2022-06-26
167,8,Category 1,207.27,2022-07-04
119,19,Category 5,56.31,2022-01-04
63,30,Category 4,414.21,2022-01-13
16,48,Category 3,157.08,2022-08-24
314,30,Category 4,791.0,2022-12-19
249,46,Category 4,347.79,2022-04-28
493,20,Category 2,153.6,2022-01-28
412,11,Category 3,334.65,2022-10-12
224,19,Category 5,529.71,2022-01-05
179,50,Category 4,739.05,2022-03-26
404,49,Category 5,719.98,2022-04-12
355,35,Category 2,858.15,2022-02-05
144,40,Category 4,273.74,2022-03-26
186,8,Category 1,183.91,2022-10-29
240,2,Category 4,304.91,2022-04-26
150,23,Category 2,218.89,2022-03-11
355,24,Category 2,231.06,2022-01-26
490,26,Category 1,676.87,2022-10-13
466,42,Category 2,696.19,2022-11-10
148,36,Category 1,490.91,2022-07-24
78,37,Category 4,150.49,2022-06-03
74,25,Category 1,636.07,2022-04-26
69,17,Category 5,750.31,2022-09-19
158,30,Category 4,595.3,2022-06-26
288,11,Category 3,697.94,2022-07-18
477,25,Category 1,524.52,2022-06-26
393,5,Category 5,916.83,2022-07-21
256,39,Category 4,12.09,2022-05-03
256,19,Category 5,306.94,2022-10-28
132,22,Category 4,46.75,2022-07-17
16,43,Category 2,866.79,2022-11-13
411,44,Category 2,289.84,2022-03-28
354,20,Category 2,926.88,2022-04-07
344,27,Category 1,423.46,2022-10-21
233,23,Category 2,873.27,2022-05-02
279,28,Category 3,201.35,2022-06-25
259,20,Category 2,791.82,2022-09-07
444,47,Category 2,409.39,2022-04-03
296,42,Category 2,431.63,2022-11-14
250,7,Category 5,567.12,2022-08-31
500,4,Category 1,908.84,2022-04-01
307,12,Category 1,507.64,2022-07-26
498,2,Category 4,130.41,2022-02-10
360,47,Category 2,222.44,2022-08-25
254,29,Category 3,860.84,2022-07-15
198,46,Category 4,616.57,2022-03-20
158,12,Category 1,913.19,2022-02-10
179,29,Category 3,201.98,2022-02-24
142,27,Category 1,414.31,2022-10-27
238,49,Category 5,61.41,2022-10-28
94,44,Category 2,201.66,2022-03-08
343,11,Category 3,431.34,2022-05-28
225,3,Category 1,554.53,2022-06-03
462,5,Category 5,35.16,2022-05-12
134,27,Category 1,722.93,2022-10-31
205,10,Category 3,160.15,2022-12-12
329,16,Category 3,854.42,2022-03-10
184,9,Category 1,856.94,2022-10-04
266,15,Category 3,738.45,2022-05-29
463,19,Category 5,938.67,2022-01-19
315,28,Category 3,439.42,2022-10-18
296,44,Category 2,881.82,2022-03-27
492,1,Category 4,145.61,2022-03-26
48,50,Category 4,971.01,2022-07-28
332,18,Category 4,109.44,2022-11-13
1,35,Category 2,306.84,2022-09-27
357,18,Category 4,177.25,2022-03-09
157,2,Category 4,565.73,2022-01-27
457,50,Category 4,661.61,2022-04-28
53,39,Category 4,444.88,2022-09-24
470,6,Category 1,949.73,2022-04-21
387,18,Category 4,254.79,2022-12-05
425,8,Category 1,702.17,2022-12-13
473,25,Category 1,339.97,2022-10-30
37,6,Category 1,448.0,2022-08-16
337,14,Category 3,145.83,2022-02-11
9,39,Category 4,551.6,2022-08-26
167,48,Category 3,13.65,2022-12-19
101,10,Category 3,145.71,2022-02-13
317,32,Category 2,362.45,2022-05-08
146,5,Category 5,906.93,2022-08-19
472,13,Category 1,402.94,2022-02-05
282,36,Category 1,323.97,2022-07-18
419,7,Category 5,755.76,2022-03-17
232,30,Category 4,396.69,2022-08-15
147,26,Category 1,417.61,2022-08-26
405,28,Category 3,257.09,2022-08-15
1,37,Category 4,936.89,2022-12-16
222,20,Category 2,71.67,2022-11-28
291,22,Category 4,449.3,2022-06-28
119,3,Category 1,909.91,2022-06-21
70,22,Category 4,408.35,2022-02-21
23,20,Category 2,595.78,2022-04-30
465,38,Category 3,510.12,2022-06-09
367,37,Category 4,322.62,2022-10-02
178,44,Category 2,252.77,2022-11-14
259,13,Category 1,182.0,2022-08-05
161,18,Category 4,500.73,2022-11-23
304,43,Category 2,890.94,2022-01-09
115,7,Category 5,303.69,2022-03-09
284,38,Category 3,802.58,2022-11-07
490,45,Category 3,675.38,2022-06-28
93,11,Category 3,30.23,2022-08-10
386,23,Category 2,216.0,2022-08-03
418,35,Category 2,747.46,2022-08-21
122,20,Category 2,657.44,2022-01-16
312,41,Category 2,587.79,2022-05-29
84,13,Category 1,416.7,2022-12-27
347,50,Category 4,232.84,2022-08-17
159,49,Category 5,335.42,2022-06-29
421,26,Category 1,278.77,2022-08-12
360,31,Category 4,519.43,2022-04-07
274,32,Category 2,612.18,2022-05-22
395,26,Category 1,362.4,2022-04-01
233,45,Category 3,740.08,2022-12-30
86,17,Category 5,225.33,2022-07-29
120,44,Category 2,709.61,2022-01-29
149,45,Category 3,482.42,2022-12-25
499,26,Category 1,774.85,2022-10-29
129,4,Category 1,220.91,2022-02-07
374,44,Category 2,987.84,2022-09-24
418,26,Category 1,367.64,2022-08-27
299,8,Category 1,843.95,2022-12-21
121,42,Category 2,762.57,2022-08-06
144,25,Category 1,828.76,2022-09-11
285,18,Category 4,146.53,2022-01-09
24,43,Category 2,522.79,2022-07-28
138,29,Category 3,251.0,2022-02-24
269,21,Category 1,517.93,2022-10-01
175,25,Category 1,816.78,2022-08-29
59,43,Category 2,199.54,2022-05-16
137,33,Category 2,434.44,2022-08-15
36,14,Category 3,82.84,2022-02-16
325,43,Category 2,604.62,2022-11-20
326,39,Category 4,257.41,2022-11-29
35,22,Category 4,704.51,2022-04-03
324,11,Category 3,647.83,2022-03-03
62,20,Category 2,161.59,2022-07-18
136,20,Category 2,451.59,2022-09-20
207,50,Category 4,316.22,2022-10-20
203,11,Category 3,357.13,2022-12-09
498,50,Category 4,44.35,2022-07-14
200,14,Category 3,216.99,2022-08-18
353,4,Category 1,213.52,2022-01-25
262,28,Category 3,514.69,2022-12-04
42,17,Category 5,559.6,2022-09-13
304,48,Category 3,316.21,2022-11-03
158,29,Category 3,640.02,2022-10-13
276,6,Category 1,952.26,2022-07-06
172,49,Category 5,467.92,2022-11-28
239,27,Category 1,849.78,2022-06-06
64,19,Category 5,265.8,2022-11-04
465,31,Category 4,135.11,2022-05-10
431,24,Category 2,990.38,2022-03-16
477,20,Category 2,836.4,2022-06-02
103,43,Category 2,414.23,2022-09-19
60,4,Category 1,183.68,2022-12-14
115,22,Category 4,330.38,2022-11-15
497,2,Category 4,909.11,2022-03-04
321,26,Category 1,339.1,2022-05-03
163,27,Category 1,904.65,2022-06-25
280,28,Category 3,410.89,2022-08-04
291,29,Category 3,484.35,2022-05-29
410,27,Category 1,475.42,2022-12-12
148,45,Category 3,423.67,2022-11-08
395,29,Category 3,193.0,2022-12-30
285,48,Category 3,948.22,2022-10-22
389,6,Category 1,422.91,2022-03-12
476,50,Category 4,389.34,2022-02-05
157,42,Category 2,690.64,2022-05-14
172,32,Category 2,299.35,2022-03-31
90,27,Category 1,854.97,2022-12-14
293,32,Category 2,683.38,2022-01-24
489,27,Category 1,399.57,2022-02-25
472,11,Category 3,461.29,2022-01-19
260,44,Category 2,977.16,2022-01-09
287,14,Category 3,722.27,2022-11-24
329,37,Category 4,529.85,2022-01-18
322,20,Category 2,711.73,2022-10-24
408,3,Category 1,720.14,2022-08-25
343,10,Category 3,829.43,2022-04-22
381,33,Category 2,632.31,2022-07-12
370,45,Category 3,801.22,2022-09-19
270,25,Category 1,451.92,2022-07-27
230,29,Category 3,62.85,2022-02-14
229,41,Category 2,978.67,2022-10-04
43,22,Category 4,559.43,2022-11-18
499,9,Category 1,202.1,2022-12-30
424,36,Category 1,595.08,2022-08-30
121,7,Category 5,865.79,2022-01-18
218,46,Category 4,235.61,2022-11-13
111,39,Category 4,966.59,2022-09-07
485,27,Category 1,504.28,2022-03-28
284,41,Category 2,97.2,2022-07-02
493,47,Category 2,769.66,2022-10-14
96,18,Category 4,431.38,2022-11-18
333,35,Category 2,424.37,2022-03-13
87,22,Category 4,585.58,2022-01-22
304,1,Category 4,527.57,2022-10-17
313,24,Category 2,111.82,2022-11-14
74,44,Category 2,357.99,2022-03-09
106,37,Category 4,652.07,2022-03-22
495,1,Category 4,800.39,2022-12-19
273,11,Category 3,120.09,2022-03-09
395,33,Category 2,189.0,2022-11-20
220,6,Category 1,904.3,2022-10-30
155,5,Category 5,800.86,2022-05-03
15,36,Category 1,391.37,2022-12-29
324,33,Category 2,93.72,2022-09-28
499,16,Category 3,74.5,2022-08-03
401,38,Category 3,205.2,2022-06-11
271,24,Category 2,196.06,2022-08-13
3,35,Category 2,371.33,2022-08-07
437,19,Category 5,76.46,2022-06-15
387,24,Category 2,308.82,2022-02-02
88,27,Category 1,266.03,2022-09-04
498,9,Category 1,924.35,2022-05-06
121,12,Category 1,966.68,2022-02-26
41,28,Category 3,37.84,2022-11-01
115,20,Category 2,638.03,2022-07-30
455,20,Category 2,961.2,2022-03-31
23,35,Category 2,647.96,2022-01-23
344,26,Category 1,757.3,2022-03-04
26,14,Category 3,913.25,2022-10-25
5,13,Category 1,336.57,2022-08-07
408,39,Category 4,587.81,2022-05-07
238,27,Category 1,691.49,2022-05-23
109,7,Category 5,626.45,2022-07-05
178,34,Category 5,928.2,2022-06-04
261,48,Category 3,554.29,2022-10-29
103,24,Category 2,813.24,2022-07-24
168,41,Category 2,296.7,2022-08-09
10,19,Category 5,157.4,2022-05-20
105,33,Category 2,753.63,2022-11-30
79,32,Category 2,342.72,2022-05-27
280,12,Category 1,904.8,2022-07-06
239,32,Category 2,271.22,2022-04-10
397,29,Category 3,860.71,2022-06-09
424,16,Category 3,947.94,2022-10-18
109,10,Category 3,438.35,2022-12-14
27,39,Category 4,19.86,2022-05-04
181,7,Category 5,518.93,2022-03-12
51,45,Category 3,457.48,2022-09-25
408,39,Category 4,643.14,2022-01-21
429,34,Category 5,893.1,2022-09-01
337,42,Category 2,228.1,2022-12-17
261,34,Category 5,973.17,2022-10-11
372,34,Category 5,409.27,2022-01-23
306,24,Category 2,139.5,2022-09-30
4,33,Category 2,864.89,2022-07-14
317,15,Category 3,700.08,2022-02-02
457,18,Category 4,848.5,2022-04-02
276,25,Category 1,313.7,2022-08-23
353,41,Category 2,792.7,2022-05-19
354,42,Category 2,245.78,2022-07-07
75,35,Category 2,535.53,2022-10-20
459,41,Category 2,262.5,2022-02-01
352,8,Category 1,265.6,2022-12-23
337,42,Category 2,704.51,2022-07-23
425,16,Category 3,391.31,2022-10-24
110,5,Category 5,535.32,2022-08-03
130,20,Category 2,326.71,2022-08-23
436,23,Category 2,945.5,2022-05-14
182,11,Category 3,939.9,2022-06-03
251,4,Category 1,591.18,2022-11-15
116,24,Category 2,699.86,2022-06-10
174,42,Category 2,41.61,2022-01-06
90,32,Category 2,718.05,2022-07-31
143,44,Category 2,473.51,2022-11-03
130,23,Category 2,922.11,2022-02-15
67,25,Category 1,879.27,2022-06-09
113,26,Category 1,258.04,2022-12-30
489,17,Category 5,506.51,2022-05-04
361,14,Category 3,319.33,2022-09-15
180,46,Category 4,304.68,2022-01-01
394,43,Category 2,807.91,2022-02-13
480,4,Category 1,403.97,2022-11-27
37,21,Category 1,652.87,2022-05-31
308,35,Category 2,549.6,2022-12-09
211,48,Category 3,284.36,2022-09-26
117,1,Category 4,73.97,2022-04-28
97,24,Category 2,15.76,2022-12-15
94,46,Category 4,81.61,2022-01-03
360,46,Category 4,713.6,2022-05-10
152,49,Category 5,194.38,2022-11-26
134,44,Category 2,927.32,2022-10-24
245,50,Category 4,537.87,2022-03-29
273,33,Category 2,528.3,2022-01-25
293,32,Category 2,854.3,2022-12-18
121,26,Category 1,1000.0,2022-10-31
340,24,Category 2,400.88,2022-02-16
414,11,Category 3,452.17,2022-11-12
459,19,Category 5,158.71,2022-01-18
188,50,Category 4,257.32,2022-10-16
388,28,Category 3,170.05,2022-01-22
389,17,Category 5,383.71,2022-01-06
397,36,Category 1,940.09,2022-05-06
183,30,Category 4,794.93,2022-08-23
489,26,Category 1,932.02,2022-05-22
454,36,Category 1,581.38,2022-03-13
65,33,Category 2,100.87,2022-07-06
458,9,Category 1,398.42,2022-01-08
383,19,Category 5,673.22,2022-09-30
412,36,Category 1,413.76,2022-05-12
95,34,Category 5,654.58,2022-09-22
480,2,Category 4,64.1,2022-10-23
298,42,Category 2,168.04,2022-06-02
494,36,Category 1,563.06,2022-06-11
36,9,Category 1,411.96,2022-01-27
98,37,Category 4,562.24,2022-05-14
252,31,Category 4,271.27,2022-06-30
230,25,Category 1,857.09,2022-06-24
332,34,Category 5,228.24,2022-01-17
146,47,Category 2,882.82,2022-02-11
269,8,Category 1,358.91,2022-08-01
493,32,Category 2,955.25,2022-03-16
15,34,Category 5,579.95,2022-09-08
93,40,Category 4,943.76,2022-06-17
94,34,Category 5,459.2,2022-09-29
498,37,Category 4,623.78,2022-08-22
139,6,Category 1,143.33,2022-05-29
247,4,Category 1,150.85,2022-05-14
385,15,Category 3,284.53,2022-01-04
439,34,Category 5,139.94,2022-04-19
15,28,Category 3,916.02,2022-10-05
56,18,Category 4,185.03,2022-10-22
249,45,Category 3,190.1,2022-05-29
89,28,Category 3,311.51,2022-12-23
304,45,Category 3,523.14,2022-09-24
17,21,Category 1,885.14,2022-06-18
16,1,Category 4,873.89,2022-12-01
274,42,Category 2,515.11,2022-03-30
420,30,Category 4,113.24,2022-07-17
214,14,Category 3,276.46,2022-07-08
29,37,Category 4,712.88,2022-03-31
243,49,Category 5,14.29,2022-02-28
387,29,Category 3,806.45,2022-06-03
93,36,Category 1,428.63,2022-04-09
149,39,Category 4,923.99,2022-12-05
455,20,Category 2,838.77,2022-09-09
473,23,Category 2,88.62,2022-02-11
179,26,Category 1,279.48,2022-09-01
18,42,Category 2,433.33,2022-11-07
467,2,Category 4,526.19,2022-05-27
164,15,Category 3,323.1,2022-05-10
18,36,Category 1,58.18,2022-05-04
391,13,Category 1,280.56,2022-10-29
196,47,Category 2,345.55,2022-01-06
38,40,Category 4,269.09,2022-03-15
112,10,Category 3,158.38,2022-05-04
261,45,Category 3,918.77,2022-12-04
167,38,Category 3,729.09,2022-01-05
260,48,Category 3,182.64,2022-02-03
445,16,Category 3,184.43,2022-04-06
172,37,Category 4,234.83,2022-07-31
311,49,Category 5,439.47,2022-04-01
119,2,Category 4,395.2,2022-04-20
299,48,Category 3,321.51,2022-09-25
457,25,Category 1,829.83,2022-09-19
83,43,Category 2,308.87,2022-06-24
187,27,Category 1,238.31,2022-04-21
239,11,Category 3,669.5,2022-11-04
230,49,Category 5,250.06,2022-05-31
19,19,Category 5,850.93,2022-08-23
372,35,Category 2,339.89,2022-01-29
335,50,Category 4,639.85,2022-12-27
420,27,Category 1,126.57,2022-10-14
380,28,Category 3,484.65,2022-06-06
37,10,Category 3,157.94,2022-04-28
344,29,Category 3,847.45,2022-06-21
165,28,Category 3,326.06,2022-02-13
456,14,Category 3,998.41,2022-06-11
180,50,Category 4,625.8,2022-05-20
461,42,Category 2,708.37,2022-08-24
39,23,Category 2,139.55,2022-12-02
381,36,Category 1,845.31,2022-10-18
88,4,Category 1,997.79,2022-01-11
204,32,Category 2,708.16,2022-06-01
207,1,Category 4,531.0,2022-05-08
286,30,Category 4,78.91,2022-01-30
265,41,Category 2,884.78,2022-03-14
257,12,Category 1,865.34,2022-07-29
410,17,Category 5,385.95,2022-10-06
36,29,Category 3,961.25,2022-01-16
94,34,Category 5,986.94,2022-05-26
402,18,Category 4,931.82,2022-11-10
359,25,Category 1,969.15,2022-02-26
351,7,Category 5,914.93,2022-12-10
496,7,Category 5,329.26,2022-11-15
295,25,Category 1,717.3,2022-09-20
436,48,Category 3,358.53,2022-03-18
128,30,Category 4,978.81,2022-08-23
476,26,Category 1,604.81,2022-03-05
245,25,Category 1,453.49,2022-03-01
192,50,Category 4,836.27,2022-09-29
194,2,Category 4,853.83,2022-02-13
443,16,Category 3,738.59,2022-11-08
